conoces_proyecto,conoces_pgd,conoces_hipotesis,conoces_datos,conoces_codigo,conoces_instrumentos,conoces_resultados1,conoces_resultados2,animas,importante_preregistrar,importante_instrumentos,importante_datosocodigo,importante_resultados1,importante_resultados2
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,publicar datos o código en repositorios abiertos?,No sé,Importante,Importante,Importante,Importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Muy importante,Muy importante,Muy importante,Importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,No sé,Muy importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Importante,Importante,Muy importante,Neutral
No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Muy importante,Muy importante,Importante,Muy importante,Neutral
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",No sé,No sé,Importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,Muy importante,Muy importante,Muy importante,Muy importante
No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,NA,Importante,Muy importante,Muy importante,Neutral,Neutral
Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Poco importante,Muy importante,Muy importante,Importante,Muy importante
Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Importante,Importante,Neutral,Importante
Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Neutral,Neutral,Muy importante,Muy importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Neutral,Neutral,Neutral,Neutral
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
